name,key,law1,law2,law3,law4,law5
Alabama,AL,N,N,Y,N,N
Alaska,AK,N,N,N,N,N
Arizona,AZ,N,Y,N,N,N
Arkansas,AR,N,N,N,N,N
California,CA,N,N,N,N,N
Colorado,CO,N,N,Y,N,N
Connecticut,CT,N,N,N,Y,N
Delaware,DE,N,Y,Y,N,N
Florida,FL,N,N,N,Y,N
Georgia,GA,N,N,Y,N,N
Hawaii,HI,N,N,Y,N,N
Idaho,ID,N,Y,N,N,N
Illinois,IL,N,N,N,N,N
Indiana,IN,N,N,Y,Y,N
Iowa,IA,N,N,N,N,N
Kansas,KS,N,N,N,N,N
Kentucky,KY,N,N,Y,N,N
Louisiana,LA,N,N,N,N,N
Maine,ME,N,N,Y,N,N
Maryland,MD,N,N,N,N,Y
Massachusetts,MA,N,N,N,N,Y
Michigan,MI,N,N,N,N,Y
Minnesota,MN,N,N,N,N,N
Mississippi,MS,N,Y,Y,N,N
Missouri,MO,N,N,N,N,N
Montana,MT,N,N,Y,N,N
Nebraska,NE,N,Y,Y,N,N
Nevada,NV,N,N,N,Y,N
New Hampshire,NH,N,N,Y,N,N
New Jersey,NJ,N,N,Y,N,N
New Mexico,NM,N,N,N,Y,N
New York,NY,N,N,Y,N,N
North Carolina,NC,N,N,Y,N,N
North Dakota,ND,N,N,Y,N,N
Ohio,OH,N,N,N,N,Y
Oklahoma,OK,N,N,Y,N,N
Oregon,OR,N,N,N,N,N
Pennsylvania,PA,N,Y,Y,N,N
Rhode Island,RI,N,N,N,N,N
South Carolina,SC,N,N,N,N,Y
South Dakota,SD,N,Y,Y,N,N
Tennessee,TN,N,N,N,Y,N
Texas,TX,N,N,N,N,N
Utah,UT,N,N,N,Y,N
Vermont,VT,N,Y,N,N,N
Virginia,VA,N,N,N,N,Y
Washington,WA,Y,Y,Y,Y,N
West Virginia,WV,N,N,N,N,Y
Wisconsin,WI,N,N,N,N,Y
Wyoming,WY,N,N,N,N,Y
Washington DC,DC,N,N,N,N,Y
